project,type,commit,variant,spec,location,inspected,in_library
sonar-clojure,eMOP-FineMOP,6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,HyRTS_ps1c,Collection_HashCode,org.sonar.api.internal.google.common.collect.RegularImmutableSortedSet.<clinit>(RegularImmutableSortedSet.java:1).,TRUE +VE,true
sonar-clojure,eMOP-FineMOP,6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,HyRTS-S_ps1c,Collection_HashCode,org.sonar.api.internal.google.common.collect.RegularImmutableSortedSet.<clinit>(RegularImmutableSortedSet.java:1).,TRUE +VE,true
HyperMinHash-java,eMOP-FineMOP,f668b03e,HyRTS-S_ps1c,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS_ps1c,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS-S_ps1c,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS-F_ps1c,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,HyRTS-S_ps3cl,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS_ps3cl,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS-S_ps3cl,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
HyperMinHash-java,eMOP-FineMOP,f668b03e,METHODS-F_ps3cl,Iterator_HasNext,com.liveramp.hyperminhash.HmhCardinalityEstimator.biasCorrectEstimate(HmhCardinalityEstimator.java:1006).,FALSE +VE,false
jetCheck,eMOP-FineMOP,9239196a,HyRTS-S_ps1c,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,HyRTS-S_ps1c,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-S_ps1c,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-S_ps1c,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-F_ps1c,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-F_ps1c,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-FA_ps1c,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-FA_ps1c,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,HyRTS_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,HyRTS_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,HyRTS-S_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,HyRTS-S_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-S_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-S_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-F_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-F_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-FA_ps3cl,Collections_NewSetFromMap,org.jetbrains.jetCheck.CheckSession$1.removeEldestEntry(Iteration.java:137).,FALSE +VE,true
jetCheck,eMOP-FineMOP,9239196a,METHODS-FA_ps3cl,Collections_UnnecessaryNewSetFromMap,org.jetbrains.jetCheck.CheckSession.<init>(Iteration.java:134).,FALSE +VE,true
jetCheck,eMOP-FineMOP,af9f79d9,HyRTS-S_ps1c,Iterator_HasNext,org.jetbrains.jetCheck.CombinatorialIntCustomizer.lambda$suggestCombinatorialVariant$0(IntCustomizer.java:48).,FALSE +VE,true
jetCheck,eMOP-FineMOP,af9f79d9,METHODS-S_ps1c,Iterator_HasNext,org.jetbrains.jetCheck.CombinatorialIntCustomizer.lambda$suggestCombinatorialVariant$0(IntCustomizer.java:48).,FALSE +VE,true
jetCheck,eMOP-FineMOP,af9f79d9,METHODS-F_ps1c,Iterator_HasNext,org.jetbrains.jetCheck.CombinatorialIntCustomizer.lambda$suggestCombinatorialVariant$0(IntCustomizer.java:48).,FALSE +VE,true
jetCheck,eMOP-FineMOP,af9f79d9,METHODS-FA_ps1c,Iterator_HasNext,org.jetbrains.jetCheck.CombinatorialIntCustomizer.lambda$suggestCombinatorialVariant$0(IntCustomizer.java:48).,FALSE +VE,true
